id,orderId,mode,originCity,originCountry,destinationCity,destinationCountry,originLat,originLng,destinationLat,destinationLng,hub,carrier,plannedDeparture,plannedArrival,actualArrival,delayDays,costEur,weightKg,volumeM3,priority,status,delayReason,co2Kg,riskScore,riskLevel,costPerKg,dataQualityFlag
SHP-0035,ORD-60328,Sea,Hamburg,Germany,Dubai,United Arab Emirates,53.5511,9.9937,25.2048,55.2708,Hamburg Port,NorthSea Logistics,2026-01-09,2026-01-17,2026-01-29,12,4873.54,6655.0,5.85,Medium,At risk,Carrier capacity issue,931.7,81,Critical,0.732,
SHP-0036,ORD-79616,Sea,Hamburg,Germany,Dubai,United Arab Emirates,53.5511,9.9937,25.2048,55.2708,Hamburg Port,OceanBridge,2026-01-19,2026-02-08,2026-02-20,12,2760.25,4427.4,59.73,Low,At risk,Port congestion,619.8,71,High,0.623,
SHP-0037,ORD-42406,Air,Frankfurt,Germany,Shanghai,China,50.1109,8.6821,31.2304,121.4737,Frankfurt Airport,BlueRoute Logistics,2026-03-11,2026-03-15,2026-03-15,0,8927.71,4354.8,58.44,Medium,Delivered,No delay,13064.4,40,Medium,2.05,
SHP-0038,ORD-30028,Air,Madrid,Spain,London,United Kingdom,40.4168,-3.7038,51.5072,-0.1276,Madrid Barajas,AirSwift Cargo,2026-02-10,2026-02-14,2026-02-19,5,4340.24,2250.5,21.6,Medium,At risk,Weather disruption,3375.8,64,High,1.929,
SHP-0039,ORD-12560,Sea,Rotterdam,Netherlands,Shanghai,China,51.9244,4.4777,31.2304,121.4737,Rotterdam Port,Global Freight Partners,2026-02-17,2026-03-13,2026-03-13,0,5880.1,654.5,54.34,Medium,Delivered,No delay,91.6,42,Medium,8.984,
SHP-0040,ORD-89069,Air,Frankfurt,Germany,Shanghai,China,50.1109,8.6821,31.2304,121.4737,Frankfurt Airport,BlueRoute Logistics,2026-01-06,2026-01-09,2026-01-09,0,9459.98,3151.7,58.09,High,Delivered,No delay,9455.1,56,Medium,3.002,
SHP-0041,ORD-61645,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,Global Freight Partners,2026-03-02,2026-03-06,2026-03-13,7,13607.91,5698.3,54.82,High,At risk,Documentation issue,17094.9,100,Critical,2.388,
SHP-0042,ORD-59692,Sea,Hamburg,Germany,Shanghai,China,53.5511,9.9937,31.2304,121.4737,Hamburg Port,OceanBridge,2026-03-01,2026-03-12,2026-03-12,0,3866.54,1564.8,17.8,Low,Delivered,No delay,219.1,26,Low,2.471,
SHP-0043,ORD-15276,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,RoadFast Europe,2026-03-07,2026-03-08,2026-03-08,0,1813.65,576.9,61.93,Low,Delivered,No delay,69.2,18,Low,3.144,
SHP-0044,ORD-25012,Air,Amsterdam,Netherlands,Shanghai,China,52.3676,4.9041,31.2304,121.4737,Amsterdam Schiphol,SkyFreight Express,2026-01-25,2026-01-27,2026-01-29,2,8916.84,7401.9,30.87,Low,Delayed,Customs delay,22205.7,45,Medium,1.205,
SHP-0045,ORD-87607,Air,Frankfurt,Germany,New York,United States,50.1109,8.6821,40.7128,-74.006,Frankfurt Airport,SkyFreight Express,2026-03-21,2026-03-22,2026-03-22,0,18500.0,4567.6,59.13,Medium,Delivered,No delay,13702.8,46,Medium,4.05,Abnormal transport cost
SHP-0046,ORD-58571,Sea,Hamburg,Germany,Shanghai,China,53.5511,9.9937,31.2304,121.4737,Hamburg Port,OceanBridge,2026-02-13,2026-03-13,2026-03-13,0,3741.29,1102.4,63.97,Medium,Delivered,No delay,154.3,36,Low,3.394,
SHP-0047,ORD-80539,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Madrid Barajas,RoadFast Europe,2026-02-28,2026-03-04,2026-03-11,7,3643.41,5569.7,28.98,Medium,At risk,Weather disruption,668.4,77,High,0.654,
SHP-0048,ORD-59674,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,Global Freight Partners,2026-02-16,2026-02-18,2026-02-18,0,7752.98,840.4,57.45,Low,Delivered,No delay,2521.2,30,Low,9.225,
SHP-0049,ORD-77715,Road,Barcelona,Spain,Paris,France,41.3874,2.1686,48.8566,2.3522,Paris Hub,EuroCargo Line,2026-03-09,2026-03-11,2026-03-11,0,2976.26,2148.6,19.04,Medium,Delivered,No delay,257.8,32,Low,1.385,
SHP-0050,ORD-41890,Air,Paris,France,Dubai,United Arab Emirates,48.8566,2.3522,25.2048,55.2708,Paris Hub,BlueRoute Logistics,2026-03-09,2026-03-11,2026-03-11,0,5268.97,5101.8,32.51,Medium,Delivered,No delay,15305.4,40,Medium,1.033,
SHP-0051,ORD-40217,Road,Amsterdam,Netherlands,Paris,France,52.3676,4.9041,48.8566,2.3522,Paris Hub,BlueRoute Logistics,2026-03-17,2026-03-22,2026-03-22,0,2939.45,7774.3,36.31,Medium,Delivered,No delay,932.9,32,Low,0.378,
SHP-0052,ORD-35443,Road,Lyon,France,Milan,Italy,45.764,4.8357,45.4642,9.19,Milan Hub,RoadFast Europe,2026-03-15,2026-03-17,2026-03-29,12,2715.04,5701.3,63.51,Medium,At risk,Warehouse bottleneck,684.2,77,High,0.476,
SHP-0053,ORD-11607,Road,Rotterdam,Netherlands,Paris,France,51.9244,4.4777,48.8566,2.3522,Rotterdam Port,Alpine Transport,2026-01-07,2026-01-12,2026-01-13,1,3707.34,4396.6,45.7,Low,Delayed,Road traffic,527.6,37,Low,0.843,
SHP-0054,ORD-85631,Sea,Le Havre,France,New York,United States,49.4944,0.1079,40.7128,-74.006,Le Havre Port,Global Freight Partners,2026-02-18,2026-03-02,2026-03-02,0,2233.31,2103.9,56.18,Low,Delivered,No delay,294.5,22,Low,1.062,
SHP-0055,ORD-59856,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,NorthSea Logistics,2026-03-19,2026-04-04,2026-04-08,4,5094.39,4432.5,27.75,Medium,At risk,Port congestion,310.3,72,High,1.149,
SHP-0056,ORD-44687,Sea,Le Havre,France,New York,United States,49.4944,0.1079,40.7128,-74.006,Le Havre Port,BlueRoute Logistics,2026-03-01,2026-03-17,2026-03-17,0,5910.16,639.0,62.45,Low,Delivered,No delay,89.5,32,Low,9.249,
SHP-0057,ORD-69510,Sea,Antwerp,Belgium,New York,United States,51.2194,4.4025,40.7128,-74.006,Antwerp Port,NorthSea Logistics,2026-03-17,2026-03-26,2026-04-04,9,3293.91,5433.0,31.18,Low,At risk,Documentation issue,760.6,71,High,0.606,
SHP-0058,ORD-84607,Road,Lyon,France,Milan,Italy,45.764,4.8357,45.4642,9.19,Milan Hub,Global Freight Partners,2026-01-31,2026-02-04,2026-02-08,4,2564.29,7102.1,53.94,Low,At risk,Carrier capacity issue,852.3,52,Medium,0.361,
SHP-0059,ORD-52247,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,BlueRoute Logistics,2026-02-13,2026-02-17,2026-02-17,0,4767.43,3993.6,32.7,Low,Delivered,No delay,11980.8,24,Low,1.194,
SHP-0060,ORD-71669,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,NorthSea Logistics,2026-03-20,2026-04-14,2026-04-14,0,2441.81,7796.7,44.09,Low,Delivered,No delay,545.8,22,Low,0.313,
SHP-0061,ORD-31079,Sea,Le Havre,France,New York,United States,49.4944,0.1079,40.7128,-74.006,Le Havre Port,NorthSea Logistics,2026-03-21,2026-04-10,2026-04-10,0,3312.44,3927.0,7.02,Low,Delivered,No delay,549.8,26,Low,0.844,
SHP-0062,ORD-10150,Road,Marseille,France,Milan,Italy,43.2965,5.3698,45.4642,9.19,Milan Hub,Alpine Transport,2026-02-26,2026-03-03,2026-03-05,2,2806.13,2103.3,8.6,Medium,Delayed,Warehouse bottleneck,252.4,47,Medium,1.334,
SHP-0063,ORD-27172,Sea,Shanghai,China,Rotterdam,Netherlands,31.2304,121.4737,51.9244,4.4777,Shanghai Port,Global Freight Partners,2026-01-12,2026-01-25,2026-01-25,0,2030.18,4924.5,33.0,Medium,Delivered,No delay,689.4,32,Low,0.412,
SHP-0064,ORD-24871,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,SkyFreight Express,2026-01-09,2026-01-11,2026-01-11,0,4882.77,0,2.07,Medium,Delivered,No delay,7643.7,34,Low,0,Invalid weight
SHP-0065,ORD-34983,Sea,Rotterdam,Netherlands,Shanghai,China,51.9244,4.4777,31.2304,121.4737,Rotterdam Port,Global Freight Partners,2026-02-12,2026-03-07,2026-03-07,0,4070.19,3346.0,31.98,Medium,Delivered,No delay,468.4,36,Low,1.216,
SHP-0066,ORD-86011,Air,Barcelona,Spain,Amsterdam,Netherlands,41.3874,2.1686,52.3676,4.9041,Barcelona Port,SkyFreight Express,2026-02-10,2026-02-14,2026-02-14,0,11128.23,6182.4,18.25,Low,Delivered,No delay,9273.6,36,Low,1.8,
SHP-0067,ORD-41300,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,BlueRoute Logistics,2026-03-15,2026-03-19,2026-03-19,0,6877.74,4385.6,35.87,Medium,Delivered,No delay,13156.8,40,Medium,1.568,
SHP-0068,ORD-74923,Sea,Hamburg,Germany,Dubai,United Arab Emirates,53.5511,9.9937,25.2048,55.2708,Hamburg Port,OceanBridge,2026-02-15,2026-03-09,2026-03-09,0,6373.6,6362.9,25.83,Medium,Delivered,No delay,890.8,42,Medium,1.002,
SHP-0069,ORD-71537,Air,Frankfurt,Germany,New York,United States,50.1109,8.6821,40.7128,-74.006,Frankfurt Airport,SkyFreight Express,2026-03-03,2026-03-04,2026-03-04,0,9581.99,3661.8,47.29,Medium,Delivered,No delay,10985.4,46,Medium,2.617,
SHP-0070,ORD-80912,Air,Madrid,Spain,London,United Kingdom,40.4168,-3.7038,51.5072,-0.1276,Madrid Barajas,BlueRoute Logistics,2026-01-16,2026-01-19,2026-01-19,0,11439.4,6728.2,25.44,Low,Delivered,No delay,10092.3,36,Low,1.7,
SHP-0071,ORD-13794,Road,Paris,France,Lille,France,48.8566,2.3522,50.6292,3.0573,Paris Hub,Alpine Transport,2026-02-04,2026-02-05,2026-02-05,0,2292.21,930.1,41.63,High,Delivered,No delay,111.6,38,Low,2.464,
SHP-0072,ORD-89887,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Antwerp Port,Alpine Transport,2026-02-20,2026-02-23,2026-02-23,0,1530.93,2040.8,27.49,Medium,Delivered,No delay,244.9,28,Low,0.75,
SHP-0073,ORD-47700,Air,Frankfurt,Germany,Shanghai,China,50.1109,8.6821,31.2304,121.4737,Frankfurt Airport,BlueRoute Logistics,2026-03-21,2026-03-23,2026-03-23,0,11753.57,5040.8,30.52,Medium,Delivered,No delay,15122.4,46,Medium,2.332,
SHP-0074,ORD-59986,Sea,Antwerp,Belgium,New York,United States,51.2194,4.4025,40.7128,-74.006,Antwerp Port,Global Freight Partners,2026-02-19,2026-03-16,2026-03-25,9,6060.74,3661.1,20.48,High,At risk,Weather disruption,512.6,97,Critical,1.655,
SHP-0075,ORD-75107,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,Maghreb Maritime,2026-01-08,2026-02-05,2026-02-05,0,6944.45,241.7,56.39,Medium,Delivered,No delay,16.9,42,Medium,28.732,
SHP-0076,ORD-92242,Air,Madrid,Spain,London,United Kingdom,40.4168,-3.7038,51.5072,-0.1276,Madrid Hub,Global Freight Partners,2026-02-03,2026-02-05,2026-02-05,0,12250.67,5344.6,47.2,Medium,Delivered,No delay,8016.9,46,Medium,2.292,
SHP-0077,ORD-80701,Sea,Marseille,France,Tangier,Morocco,43.2965,5.3698,35.7595,-5.834,Marseille-Fos Port,OceanBridge,2026-03-21,2026-04-08,2026-04-08,0,2364.07,866.8,20.03,Medium,Delivered,No delay,60.7,32,Low,2.727,
SHP-0078,ORD-39571,Air,London,United Kingdom,New York,United States,51.5072,-0.1276,40.7128,-74.006,London Heathrow,AirSwift Cargo,2026-02-07,2026-02-11,2026-02-11,0,8053.82,2429.0,56.73,High,Delivered,No delay,7287.0,50,Medium,3.316,
SHP-0079,ORD-58689,Air,New York,United States,London,United Kingdom,40.7128,-74.006,51.5072,-0.1276,JFK Airport,Global Freight Partners,2026-01-17,2026-01-21,2026-01-23,2,7768.21,2988.6,48.99,Low,Delayed,Documentation issue,8965.8,45,Medium,2.599,
SHP-0080,ORD-63516,Road,Lyon,France,Milan,Italy,45.764,4.8357,45.4642,9.19,Milan Hub,RoadFast Europe,2026-03-18,2026-03-21,2026-03-21,0,2705.08,1866.8,5.23,High,Delivered,No delay,224.0,42,Medium,1.449,
SHP-0081,ORD-30253,Road,Paris,France,Lyon,France,48.8566,2.3522,45.764,4.8357,Paris Hub,Alpine Transport,2026-03-10,2026-03-11,2026-03-14,3,3718.86,3636.8,43.98,Medium,Delayed,Weather disruption,436.4,62,High,1.023,
SHP-0082,ORD-81364,Air,Dubai,United Arab Emirates,Paris,France,25.2048,55.2708,48.8566,2.3522,Dubai Airport,BlueRoute Logistics,2026-02-27,2026-03-02,2026-03-09,-2,6351.45,3558.6,61.85,High,At risk,Weather disruption,10675.8,50,Medium,1.785,Negative delay
SHP-0083,ORD-88269,Air,Dubai,United Arab Emirates,Paris,France,25.2048,55.2708,48.8566,2.3522,Jebel Ali Port,SkyFreight Express,2026-02-25,2026-02-28,2026-02-28,0,9330.41,1110.9,55.3,Medium,Delivered,No delay,3332.7,46,Medium,8.399,
SHP-0084,ORD-10371,Air,Paris,France,Frankfurt,Germany,48.8566,2.3522,50.1109,8.6821,Paris CDG,AirSwift Cargo,2026-01-22,2026-01-24,2026-01-28,4,5869.87,1825.5,56.69,Low,At risk,Customs delay,2738.2,60,High,3.215,
SHP-0085,ORD-16868,Road,Paris,France,Madrid,Spain,48.8566,2.3522,40.4168,-3.7038,Paris CDG,Global Freight Partners,2026-02-07,2026-02-09,2026-02-10,1,2103.47,293.2,51.6,Low,Delayed,Carrier capacity issue,35.2,33,Low,7.174,
SHP-0086,ORD-96363,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Hamburg Port,RoadFast Europe,2026-03-07,2026-03-11,2026-03-11,0,2974.54,4090.9,8.16,Medium,Delivered,No delay,490.9,32,Low,0.727,
SHP-0087,ORD-29442,Sea,Le Havre,France,New York,United States,49.4944,0.1079,40.7128,-74.006,Le Havre Port,OceanBridge,2026-03-08,2026-03-27,2026-03-27,0,6482.07,1002.7,46.65,Medium,Delivered,No delay,140.4,42,Medium,6.465,
SHP-0088,ORD-82264,Road,Lille,France,Antwerp,Belgium,50.6292,3.0573,51.2194,4.4025,Antwerp Port,BlueRoute Logistics,2026-03-14,2026-03-17,2026-03-17,0,3114.53,4793.4,7.53,Medium,Delivered,No delay,575.2,32,Low,0.65,
SHP-0089,ORD-59060,Sea,Hamburg,Germany,Dubai,United Arab Emirates,53.5511,9.9937,25.2048,55.2708,Hamburg Port,Global Freight Partners,2026-02-04,2026-02-24,2026-02-24,0,3993.41,3635.7,27.74,Low,Delivered,No delay,509.0,26,Low,1.098,
SHP-0090,ORD-26021,Air,Dubai,United Arab Emirates,Paris,France,25.2048,55.2708,48.8566,2.3522,Jebel Ali Port,SkyFreight Express,2026-01-17,2026-01-18,2026-01-20,2,9629.67,6365.7,36.7,Medium,Delayed,Carrier capacity issue,19097.1,61,High,1.513,
SHP-0091,ORD-55890,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Madrid Barajas,RoadFast Europe,2026-02-11,2026-02-16,2026-02-16,0,2250.65,969.4,33.57,Low,Delivered,No delay,116.3,18,Low,2.322,
SHP-0092,ORD-13441,Air,London,United Kingdom,New York,United States,51.5072,-0.1276,40.7128,-74.006,London Gateway,Global Freight Partners,2026-03-20,2026-03-22,2026-03-22,0,11674.26,6620.1,63.38,High,Delivered,No delay,19860.3,56,Medium,1.763,
SHP-0093,ORD-62531,Sea,Hamburg,Germany,Shanghai,China,53.5511,9.9937,31.2304,121.4737,Hamburg Port,OceanBridge,2026-01-29,2026-02-13,2026-02-13,0,6201.23,2534.5,22.88,Low,Delivered,No delay,354.8,32,Low,2.447,
SHP-0094,ORD-88148,Road,Marseille,France,Milan,Italy,43.2965,5.3698,45.4642,9.19,Marseille-Fos Port,RoadFast Europe,2026-03-14,2026-03-16,2026-03-16,0,1983.06,3636.8,11.24,Low,Delivered,No delay,436.4,18,Low,0.545,
SHP-0095,ORD-24918,Road,Paris,France,Lyon,France,48.8566,2.3522,45.764,4.8357,Paris Hub,EuroCargo Line,2026-01-12,2026-01-13,2026-01-13,0,2429.03,5224.0,32.19,Medium,Delivered,No delay,626.9,28,Low,0.465,
SHP-0096,ORD-37686,Road,Paris,France,Lille,France,48.8566,2.3522,50.6292,3.0573,Paris CDG,Global Freight Partners,2026-03-09,2026-03-14,2026-03-14,0,1000.03,526.1,26.42,Medium,Delivered,No delay,63.1,28,Low,1.901,
SHP-0097,ORD-97562,Air,Madrid,Spain,London,United Kingdom,40.4168,-3.7038,51.5072,-0.1276,Madrid Barajas,Global Freight Partners,2026-01-21,2026-01-22,2026-01-22,0,5347.88,3461.6,9.44,Medium,Delivered,No delay,5192.4,40,Medium,1.545,
SHP-0098,ORD-47947,Air,Paris,France,Dubai,United Arab Emirates,48.8566,2.3522,25.2048,55.2708,Paris CDG,SkyFreight Express,2026-03-02,2026-03-03,2026-03-03,0,5996.84,773.3,21.17,Medium,Delivered,No delay,2319.9,40,Medium,7.755,
SHP-0099,ORD-39041,Road,Paris,France,Lyon,France,48.8566,2.3522,45.764,4.8357,Paris CDG,EuroCargo Line,2026-03-05,2026-03-08,2026-03-10,2,3344.14,3499.9,26.75,Low,Delayed,Carrier capacity issue,420.0,37,Low,0.955,
